ID,Position,Scouting Report Sentence(s),Race
1,QB,"Played rare volume of high-leverage games as three-year starter,  86-4 record as a starter dating back to high school,  Commanding presence with unmistakable air of confidence,  Elite size, athleticism and play traits,  Dual-threat capabilities will add to his explosive play totals",W
1,QB," Speed, wiggle and toughness for zone-read and called runs,  Understands how to protect himself,  Feet stay calm when working from pocket,  Subtle pocket slides to stay pass-ready and on platform,  Internal clock helps him stay on schedule",W
1,QB," High-level escapability when pocket collapses,  Pinpoint accuracy on basic throws,  Sticks short throws into run-ready placement,  Ability to generate sudden torque for drive velocity,  Arm to challenge safeties and work into tight windows",W
1,QB," Willing to take punishment to deliver throw with poise,  Alters arm slot to sling it around incoming bodies,  Capable of altering touch and trajectory when needed,  Unlikely to opt-out into checkdown prematurely,  Delivers lasers to the back shoulder",W
1,QB," Benefits from heavy play-action and quick game,   Offense limited amount of full-field reads asked of him,  Inconsistent eye manipulation of safeties,  Play can become frenetic when pressure arises,  Struggled deciphering blitz and coverage packages against Virginia Tech",W
1,QB," Has ball dip in his passing delivery,  Can improve in throwing receivers open,  Sailed a few more throws than expected,  Will make ill-advised throw over taking sack on occasion,  Average deep-ball placement",W
1,QB," Will need to incorporate a slide into his game as a runner,  Threw an interception in five of his last six games,  Average deep-ball placement,  Internal clock helps him stay on schedule,  Can improve in throwing receivers open",W
2,QB,"Enormous jump in production and play quality in 2020,  Outstanding 11:1 touchdown-to-interception ratio in 2020,  Offers potential as full-field reader,  Arm looked substantially more lively in 2020, with highlight-reel throws on the move,  Slick ball-handler in quick game and RPOs",NW
2,QB," Twitchy operation time to get it out and easily alters arm slot if needed,  Generates sudden drive velocity for seam throws,  Throws with some accuracy working off-platform,  Sticks throws into Cover 2 windows with great conviction,  Unafraid of making tight-window challenges",NW
2,QB," Gives big targets a chance to make plays on 50/50 balls,  Deep and intermediate accuracy (54% and 68%, according to PFF) was outstanding,  Feels pressure bearing down off the edge,  Able to make subtle pocket slides and stay throw-ready,  Athletic play extender with big-play mindset outside the pocket",NW
2,QB," Has mobility to keep defenses honest,  Level of competition allowed for ""bombs away"" mindset in 2020,  Struggled with accuracy and decision-making against Coastal Carolina,  Carries ball down by waist as pocket scanner,  Has tendency to over-stride and sail throws at times",NW
2,QB," Hero ball needs to be dialed back a bit,  Passed up on the easy throw to take the harder throw,  Doesn’t work with enough anticipation as a passer,  Will baby throws, forcing open receivers to break stride,  Ill-advised throws under pressure turned into interceptions in 2019",NW
